Lat,Lon,Mw
43.464,11.882,4.86
41.898999999999994,12.477,5.1
43.773,11.257,5.1
41.925,13.095,5.33
43.718,10.402000000000001,4.4
44.494,11.343,3.93
44.067,12.078,4.86
43.933,10.915,4.63
44.835,11.62,5.1
42.736000000000004,12.737,5.33
44.647,10.925999999999998,4.86
43.566,13.567,5.56
42.721000000000004,12.091,5.56
42.736000000000004,12.737,5.56
44.13,11.919,5.52
43.093,12.872,6.2
44.81399999999999,10.683,4.4
44.835,11.62,5.1
42.88,11.677999999999999,4.86
43.933,10.915,5.56
42.402,12.86,4.4
42.575,12.902000000000001,6.26
43.843,10.505,4.63
44.059,12.568,5.33
42.351000000000006,13.399000000000001,5.56
43.318000000000005,11.332,5.1
43.718,10.402000000000001,4.4
44.57,11.134,4.16
43.773,11.257,4.4
42.857,13.017999999999999,6.49
44.835,11.62,4.63
44.81,10.564,4.4
43.773,11.257,4.63
43.773,11.257,4.63
44.647,10.925999999999998,4.16
41.925,13.095,5.56
42.27,13.118,6.27
43.468999999999994,12.127,6.31
43.57,12.140999999999998,4.86
43.318000000000005,11.332,4.86
44.494,11.343,5.33
44.222,12.04,5.33
43.773,11.257,4.16
43.773,11.257,4.16
42.659,13.703,5.1
43.836999999999996,13.017999999999999,5.1
43.527,12.299000000000001,6.03
43.996,11.912,5.1
42.351000000000006,13.399000000000001,4.63
44.441,10.925,5.1
44.494,11.343,4.16
44.494,11.343,4.16
44.494,11.343,3.7
44.835,11.62,4.63
44.835,11.62,4.86
44.835,11.62,5.1
43.27,11.120999999999999,5.7
43.318000000000005,11.332,4.4
42.351000000000006,13.399000000000001,4.16
44.172,11.947000000000001,4.16
44.835,11.62,4.63
43.773,11.257,4.4
44.146,12.046,5.47
43.318000000000005,11.332,4.16
43.318000000000005,11.332,4.16
44.494,11.343,4.63
43.318000000000005,11.332,4.86
41.787,12.677,5.33
43.233999999999995,11.56,4.63
43.783,11.287,5.38
44.494,11.343,4.4
43.57,12.140999999999998,4.4
43.463,12.235999999999999,5.8
43.193999999999996,13.229000000000001,4.4
43.457,12.239,4.63
42.308,13.543,6.5
42.351000000000006,13.399000000000001,4.16
42.351000000000006,13.399000000000001,4.16
42.351000000000006,13.399000000000001,4.16
43.996,10.457,4.16
44.698,10.630999999999998,4.4
43.351000000000006,12.577,4.63
42.351000000000006,13.399000000000001,4.16
43.351000000000006,12.577,4.63
43.318000000000005,11.332,4.4
43.318000000000005,11.332,4.86
44.059,12.568,3.7
43.773,11.257,4.16
44.162,11.037,5.56
43.351000000000006,12.577,4.16
44.059,12.568,5.1
44.059,12.568,4.4
44.647,10.925999999999998,4.16
43.619,13.513,5.1
42.955,12.704,4.4
42.955,12.704,4.86
44.222,12.04,4.16
42.919,13.835,4.86
43.781000000000006,10.454,4.4
43.843,10.505,4.4
44.724,10.628,4.16
44.273999999999994,10.13,5.6
44.835,11.62,4.4
44.155,12.229000000000001,5.69
43.57,12.140999999999998,5.1
42.092,12.565,5.02
44.698,10.630999999999998,4.16
43.318000000000005,11.332,4.4
44.835,11.62,3.7
43.57,12.140999999999998,5.1
44.222,12.04,4.86
42.806000000000004,12.742,4.16
43.318000000000005,11.332,5.1
43.318000000000005,11.332,4.16
42.351000000000006,13.399000000000001,4.4
43.196999999999996,11.505999999999998,4.4
44.519,10.844000000000001,6.05
42.386,12.949000000000002,5.1
43.461999999999996,13.087,4.63
43.425,13.024000000000001,4.86
43.696999999999996,11.815999999999999,5.1
44.494,11.343,5.02
44.507,11.23,5.62
44.494,11.343,4.76
44.494,11.343,4.16
44.494,11.343,4.4
44.494,11.343,4.4
44.835,11.62,3.7
44.835,11.62,4.16
44.323,11.864,5.02
42.896,11.769,4.63
43.44,13.61,4.63
42.386,12.949000000000002,4.63
43.541000000000004,12.054,4.86
43.933,10.915,5.33
42.736000000000004,12.737,4.86
43.207,11.559000000000001,4.4
44.365,10.934000000000001,5.12
43.162,13.718,4.86
44.006,11.385,6.02
43.067,11.642999999999999,5.33
43.076,11.679,4.16
43.076,11.679,4.16
44.698,10.630999999999998,5.1
44.698,10.630999999999998,4.4
43.551,10.309000000000001,4.86
43.773,11.257,4.4
43.773,11.257,4.86
42.351000000000006,13.399000000000001,4.16
43.457,12.239,5.1
43.456,11.564,5.97
43.62,12.091,4.86
44.781000000000006,11.454,4.4
42.58,13.978,4.4
42.793,13.094000000000001,4.86
44.824,11.632,5.44
44.833,11.294,4.63
43.318000000000005,11.332,4.86
43.861999999999995,11.992,5.97
43.065,12.497,4.86
44.698,10.630999999999998,4.63
44.401,12.035,5.13
42.876999999999995,12.747,5.1
43.31,12.421,5.33
44.835,11.62,4.16
43.351000000000006,12.577,4.4
42.778,12.466,4.63
43.986999999999995,11.429,5.28
42.724,13.020999999999999,6.07
43.773999999999994,11.716,5.1
43.773,11.257,4.63
44.698,10.630999999999998,5.33
43.318000000000005,11.332,4.4
44.698,10.630999999999998,4.16
44.698,10.630999999999998,4.4
43.42100000000001,11.114,4.4
44.01,11.359000000000002,5.1
43.246,12.853,5.11
43.111999999999995,12.389000000000001,4.86
43.522,13.245,4.4
42.526,13.296,5.33
44.516999999999996,12.017000000000001,4.86
44.641999999999996,11.847999999999999,5.43
44.059,12.568,4.63
43.3,13.453,5.1
42.693999999999996,13.248,5.33
43.903,10.69,4.4
43.052,12.855,5.1
43.318000000000005,11.332,4.4
44.833,11.294,5.33
42.638999999999996,13.261,6.21
44.245,10.952,4.86
43.551,10.309000000000001,4.63
42.615,13.247,5.9
42.351000000000006,13.399000000000001,4.86
42.415,12.142999999999999,4.82
42.736000000000004,12.737,4.86
43.933,10.915,4.4
44.81399999999999,10.504000000000001,4.4
44.216,12.055,4.4
42.736000000000004,12.737,4.86
44.06,11.842,4.63
44.733999999999995,10.863,4.86
44.021,11.898,6.05
44.638999999999996,11.114,4.16
42.736000000000004,12.737,5.1
43.513999999999996,12.19,4.16
44.674,10.866,5.27
43.941,12.575999999999999,5.59
42.568999999999996,13.302,5.33
44.835,11.62,4.16
43.136,11.665,4.86
43.662,12.540999999999999,3.93
44.39,11.942,5.84
44.288000000000004,11.880999999999998,4.16
43.663999999999994,12.411,5.1
44.281000000000006,12.107000000000001,3.7
42.876999999999995,12.747,4.63
42.415,13.075999999999999,4.16
42.415,13.075999999999999,5.1
42.916000000000004,12.725999999999999,4.63
42.955,12.704,4.4
43.457,12.239,4.86
43.55,13.594000000000001,5.58
43.836999999999996,13.017999999999999,4.16
43.442,12.436,4.16
43.351000000000006,12.577,4.16
43.282,12.635,4.85
43.351000000000006,12.577,4.63
43.62,12.091,5.4
44.835,11.62,4.4
42.613,12.11,5.8
43.67,11.09,4.4
43.318000000000005,11.332,4.4
43.318000000000005,11.332,4.86
43.318000000000005,11.332,4.86
43.318000000000005,11.332,4.63
43.318000000000005,11.332,4.63
43.318000000000005,11.332,4.63
43.619,13.513,4.63
42.416000000000004,12.107000000000001,3.7
42.388000000000005,12.177,4.4
42.871,11.668,4.86
42.755,13.052999999999999,4.16
42.836999999999996,12.857999999999999,4.4
42.708,13.071,6.92
42.434,13.292,6.67
42.748999999999995,12.948,4.4
44.288000000000004,11.880999999999998,4.63
42.793,13.094000000000001,4.16
43.318000000000005,11.332,3.7
42.699,12.617,5.21
43.513000000000005,12.734000000000002,4.86
42.516999999999996,12.520999999999999,5.33
42.718,13.013,4.86
43.91,12.91,4.16
43.3,13.453,4.4
42.876000000000005,13.047,5.59
44.037,10.142000000000001,3.93
43.052,12.855,5.1
43.206,11.008,5.1
43.56399999999999,12.487,4.8
43.457,12.239,4.16
44.207,11.573,5.67
44.358999999999995,11.63,4.86
43.242,11.51,5.33
43.309,12.546,4.85
44.056999999999995,11.367,4.93
43.61,12.819,5.24
44.398,11.59,4.4
